word_original,word_translation
book,本
cloud,雲
bag,袋
mouth,口
soil,土
mountain,山
cloth,布
heart,心
hand,手
day,日
star,星
spring,春
moon,月
wood,木
village,村
forest,森
fruit,果物
grid,格子
song,歌
water,水
pond,池
sand,砂
river,川
law,法則
wave,波
ocean,海
cave,洞窟
sea,海
lake,湖
source,源
fire,火
point,点
version,バージョン
ball,ボール
painting,絵
station,駅
rice,米
red,赤
line,線
net,網
flower,花
tea,お茶
foot,足
gold,金
door,扉
snow,雪
horse,馬
one,一
two,二
three,三
four,四
five,五
six,六
seven,七
eight,八
nine,九
ten,十
head,頭
shop,店
strip,ストリップ
street,通り
part,部分
eye,目
field,フィールド
site,場所
dance,ダンス
word,言葉
pair,ペア
seat,席 a sedere
light,光
thousand,千
north,北
machine,機械
time,時間
benefit,利益
position,位置
province,省
exchange,交換
middle,中間
friend,友人
color,色
kind,種類
judge,判断
school,学校
structure,構造
tie,結びつき
example,例
face,顔
bridge,橋
item,アイテム
delete,削除
group,グループ
talent,才能
beauty,美しさ
platform,プラットフォーム
house,家
sun,太陽
meeting,会議
history,歴史
valley,谷
square,広場
generation,世代
south,南
virtue,美徳
tribe,部族
city,都市
language,言語
speed,速度
ground,地面
advance,前進
attempt,試み
defeat,敗北
tail,尾
mother,母
east,東
return,戻る
speech,スピーチ
child,子供
tower,塔
hair,髪
household,世帯
person,人
section,セクション
official,公式
hundred,百
office,オフィス
rock,岩
rise,上昇
left,左
sound,音
power,力
summer,夏
