word_original,word_translation
book,libro
cloud,nuvola
bag,borsa
mouth,bocca
soil,suolo
mountain,montagna
cloth,stoffa
heart,cuore
hand,mano
day,giorno
star,stella
spring,primavera
moon,luna
wood,legna
village,villaggio
forest,foresta
fruit,frutta
grid,griglia
song,canzone
water,acqua
pond,stagno
sand,sabbia
river,fiume
law,legge
wave,onda
ocean,oceano
cave,grotta
sea,mare
lake,lago
source,fonte
fire,fuoco
point,punto
version,versione
ball,palla
painting,pittura
station,stazione
rice,riso
red,rosso
line,linea
net,netto
flower,fiore
tea,tè
foot,piede
gold,oro
door,porta
snow,nevicare
horse,cavallo
one,uno
two,due
three,tre
four,quattro
five,cinque
six,sei
seven,Sette
eight,otto
nine,nove
ten,dieci
head,Testa
shop,negozio
strip,striscia
street,strada
part,parte
eye,occhio
field,campo
site,luogo
dance,danza
word,parola
pair,paio
seat,posto a sedere
light,leggero
thousand,mille
north,nord
machine,macchina
time,tempo
benefit,beneficio
position,posizione
province,Provincia
exchange,scambio
middle,mezzo
friend,amico
color,colore
kind,Tipo
judge,giudice
school,scuola
structure,struttura
tie,cravatta
example,esempio
face,viso
bridge,ponte
item,articolo
delete,eliminare
group,gruppo
talent,talento
beauty,bellezza
platform,piattaforma
house,casa
sun,sole
meeting,incontro
history,storia
valley,valle
square,piazza
generation,generazione
south,Sud
virtue,virtù
tribe,tribù
city,città
language,lingua
speed,velocità
ground,terra
advance,avanzare
attempt,tentativo
defeat,sconfitta
tail,coda
mother,madre
east,est
return,ritorno
speech,discorso
child,bambino
tower,Torre
hair,capelli
household,domestico
person,persona
section,sezione
official,ufficiale
hundred,centinaio
office,ufficio
rock,roccia
rise,salita
left,Sinistra
sound,suono
power,energia
summer,estate
