word_original,word_translation
book,किताब
cloud,बादल
bag,थैला
mouth,मुँह
soil,मिट्टी
mountain,पर्वत
cloth,कपड़ा
heart,दिल
hand,हाथ
day,दिन
star,तारा
spring,वसंत
moon,चंद्रमा
wood,लकड़ी
village,गाँव
forest,जंगल
fruit,फल
grid,ग्रिड
song,गाना
water,पानी
pond,तालाब
sand,रेत
river,नदी
law,कानून
wave,लहर
ocean,महासागर
cave,गुफ़ा
sea,समुद्र
lake,झील
source,स्रोत
fire,आग
point,बिंदु
version,संस्करण
ball,गेंद
painting,चित्रकारी
station,स्टेशन
rice,चावल
red,लाल
line,रेखा
net,जाल
flower,फूल
tea,चाय
foot,पैर
gold,सोना
door,दरवाजा
snow,बर्फ
horse,घोड़ा
one,एक
two,दो
three,तीन
four,चार
five,पाँच
six,छह
seven,सात
eight,आठ
nine,नौ
ten,दस
head,सिर
shop,दुकान
strip,पट्टी
street,गली
part,भाग
eye,आँख
field,मैदान
site,साइट
dance,नृत्य
word,शब्द
pair,जोड़ा
seat,सीट
light,रोशनी
thousand,हज़ार
north,उत्तर
machine,मशीन
time,समय
benefit,फ़ायदा
positio,पदों
