word_original,word_translation
book,libro
cloud,nube
bag,bolsa
mouth,boca
soil,tierra
mountain,montaña
cloth,tela
heart,corazón
hand,mano
day,día
star,estrella
spring,primavera
wood,madera
village,pueblo
forest,bosque
fruit,fruta
grid,cuadro
song,canción
water,agua
pond,estanque
sand,arena
river,río
law,ley
wave,ola
ocean,océano
cave,cueva
sea,mar
lake,lago
source,fuente
fire,fuego
point,punta
version,versión
ball,pelota
painting,pintura
station,estación
rice,arroz
red,rojo
line,línea
net,red
flower,flor
tea,té
foot,pie
gold,oro
door,puerta
snow,nieve
horse,caballo
one,uno
two,dos
three,tres
four,cuatro
five,cinco
six,seis
seven,siete
eight,ocho
nine,nueve
ten,diez
head,cabeza
shop,tienda
strip,tira
street,calle
part,pieza
eye,ojo
field,campo
site,lugar
dance,bailar
word,palabra
pair,par
seat,asiento
light,luz
thousand,mil
north,norte
machine,máquina
time,tiempo
benefit,ventajas
position,posición
province,provincia
exchange,canje
middle,medio
friend,amigo
color,color
kind,tipo
judge,juez
school,colegio
structure,edificio
tie,corbata
face,cara
bridge,puente
item,artículo
group,grupo
talent,talento
beauty,belleza
platform,andén
house,casa
sun,sol
meeting,reunión
history,historia
valley,valle
square,cuadro
generation,generación
virtue,virtud
tribe,tribu
city,ciudad
language,idioma
speed,velocidad
ground,suelo
advance,avance
attempt,tentativa
defeat,derrota
tail,rabo
mother,madre
east,este
return,regreso
speech,expresión
child,niño
tower,torre
hair,pelo
person,persona
section,sección
official,funcionario
hundred,cien
office,oficina
rock,piedra
rise,aumento
left,izquierda
sound,sonido
power,fuerza
summer,verano
